cnty_fips,display_name,AirqualityValue,SmokingValue,Smokingtheme_range,StrokeValue,Stroketheme_range,PhysicalInactivityValue,PhysicalInactivitytheme_range,UnemploymentRateValue,UnemploymentRatetheme_range,PovertyValue,Povertytheme_range,FoodStampValue,FoodStamptheme_range
2013,"""Aleutians East, (AK)""",-1,19.3,19 - 21 (583),3.3,3 - 4 (666),18.6,18 - 20 (628),2,1 - 3 (706),16.2,15 - 19 (610),4,0 - 7 (642)
2016,"""Aleutians West, (AK)""",-1,16.7,15 - 17 (634),2.5,2 - 3 (693),21.3,20 - 23 (607),3.1,3 - 3 (670),9.7,3 - 10 (638),2.8,0 - 7 (642)
2020,"""Anchorage, (AK)""",8.3,15,7 - 15 (616),2.6,2 - 3 (693),16.9,16 - 18 (600),3.3,3 - 4 (573),10.4,10 - 12 (628),9.4,7 - 10 (629)
2050,"""Bethel, (AK)""",-1,35.5,21 - 43 (612),4.8,5 - 7 (539),25.6,23 - 35 (609),8.8,5 - 15 (627),21.9,19 - 42 (620),39.5,18 - 54 (622)
2060,"""Bristol Bay, (AK)""",-1,18.8,17 - 19 (629),3.6,3 - 4 (666),21.4,20 - 23 (607),4.3,4 - 5 (642),13.6,13 - 15 (636),6.3,0 - 7 (642)
2068,"""Denali, (AK)""",-1,17.8,17 - 19 (629),2.8,2 - 3 (693),12,9 - 16 (630),6.3,5 - 15 (627),7.3,3 - 10 (638),4.1,0 - 7 (642)
2070,"""Dillingham, (AK)""",-1,29.1,21 - 43 (612),4.4,4 - 4 (624),21.6,20 - 23 (607),5.6,5 - 15 (627),19.7,19 - 42 (620),26.7,18 - 54 (622)
2090,"""Fairbanks North Star, (AK)""",15.5,15.6,15 - 17 (634),2.4,2 - 3 (693),19.8,18 - 20 (628),3.7,3 - 4 (573),7.8,3 - 10 (638),5.9,0 - 7 (642)
2100,"""Haines, (AK)""",-1,19.1,19 - 21 (583),4,4 - 4 (624),14.7,9 - 16 (630),6.6,5 - 15 (627),10.3,10 - 12 (628),7,0 - 7 (642)
2105,"""Hoonah-Angoon, (AK)""",-1,20.6,19 - 21 (583),4.7,5 - 7 (539),13.9,9 - 16 (630),5.6,5 - 15 (627),17.5,15 - 19 (610),14.3,14 - 18 (633)
2110,"""Juneau, (AK)""",6.8,14.5,7 - 15 (616),2.7,2 - 3 (693),12.1,9 - 16 (630),2.8,3 - 3 (670),7.9,3 - 10 (638),7.1,7 - 10 (629)
2122,"""Kenai Peninsula, (AK)""",-1,17.5,17 - 19 (629),3.3,3 - 4 (666),19.2,18 - 20 (628),4.5,4 - 5 (642),11,10 - 12 (628),8.9,7 - 10 (629)
2130,"""Ketchikan Gateway, (AK)""",-1,17.7,17 - 19 (629),3.2,2 - 3 (693),20.1,18 - 20 (628),3.8,4 - 5 (642),8.6,3 - 10 (638),11.7,10 - 14 (614)
2150,"""Kodiak Island, (AK)""",-1,16.5,15 - 17 (634),2.6,2 - 3 (693),18.8,18 - 20 (628),4.3,4 - 5 (642),7.5,3 - 10 (638),5.7,0 - 7 (642)
2164,"""Lake and Peninsula, (AK)""",-1,26.1,21 - 43 (612),4.3,4 - 4 (624),17.7,16 - 18 (600),5.8,5 - 15 (627),20.1,19 - 42 (620),25.3,18 - 54 (622)
2170,"""Matanuska-Susitna, (AK)""",6.6,19.6,19 - 21 (583),2.9,2 - 3 (693),19.7,18 - 20 (628),4.6,5 - 15 (627),9.8,3 - 10 (638),9.1,7 - 10 (629)
2180,"""Nome, (AK)""",-1,31.2,21 - 43 (612),4.1,4 - 4 (624),23.2,23 - 35 (609),6.9,5 - 15 (627),19.9,19 - 42 (620),30.2,18 - 54 (622)
2185,"""North Slope, (AK)""",-1,25,21 - 43 (612),3.2,2 - 3 (693),24.8,23 - 35 (609),5,5 - 15 (627),13.7,13 - 15 (636),8.1,7 - 10 (629)
2188,"""Northwest Arctic, (AK)""",-1,31.4,21 - 43 (612),4.3,4 - 4 (624),22.8,23 - 35 (609),9,5 - 15 (627),19.7,19 - 42 (620),29.7,18 - 54 (622)
2195,"""Petersburg, (AK)""",-1,17,17 - 19 (629),3.4,3 - 4 (666),15.6,9 - 16 (630),5.8,5 - 15 (627),7.1,3 - 10 (638),10.1,7 - 10 (629)
2198,"""Prince of Wales-Hyder, (AK)""",-1,24.5,21 - 43 (612),4.5,5 - 7 (539),23.1,23 - 35 (609),5.5,5 - 15 (627),14.6,13 - 15 (636),15.7,14 - 18 (633)
